姓名,来源链接,状态,失败分类,照片链接,照片文件,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
黄映飞,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=65&typeid=63&cid=65&ksid=63&id=156,失败,占位图,,,,,,,,FULL_FETCH,"{""detail_http"":200,""detection_feature"":""照片响应内容判定为占位图：known-placeholder-sha256:636b19e12d195b9da003dbbed0c68c0004864d6d86e990f8b606aa069b67b5a9；1622 bytes；86×126"",""excluded_resources"":[],""observed_utc"":""2026-08-18T18:09:03Z"",""photo_reference_count"":1,""resource_urls"":[""https://www.gdzy5413.com/UploadFiles/image/upload/633822289969417500.jpg""],""template_signature"":""资料卡 div[style*='width: 120px'] > img[width='120px'][height='155px']""}"
刘晓俊,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1003&typeid=901&cid=1003&ksid=901&id=439,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-3/20140301122858672_s.jpg,01_试点医院/广东省第二中医院/照片/刘晓俊-五山门诊-主任医师-广东省第二中医院.png,png,11401,ec03bf1fc87624c885264bf41c415c4e0e630c290394c51b4b8073f68fc0c4b5,68,100,FULL_FETCH,
李宝国,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1012&typeid=904&cid=1012&ksid=904&id=440,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-3/20140301122313959_s.jpg,01_试点医院/广东省第二中医院/照片/李宝国-五山门诊-副主任中医师-广东省第二中医院.png,png,15933,563a82be40d660f9df62f94de9582e5ba73303f74e9fc1139bdc386f4dee26b5,75,100,FULL_FETCH,
沈越,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1003&typeid=901&cid=1003&ksid=901&id=437,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-3/20140301122937382_s.jpg,01_试点医院/广东省第二中医院/照片/沈越-五山门诊-主治医师-广东省第二中医院.png,png,20504,f291e437ee295ce765ebc8d104a5c18ae09df86f1a35c40e5300efe3ffb5e51f,81,100,FULL_FETCH,
蔡妙珊,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1003&typeid=901&cid=1003&ksid=901&id=436,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-3/20140301122742732_s.jpg,01_试点医院/广东省第二中医院/照片/蔡妙珊-五山门诊-主任中医师-广东省第二中医院.png,png,14999,14f26a649e1a73cd430ca639b2840cf10133c228b13e5f25ce1fbdb4819eaefb,70,100,FULL_FETCH,
魏东,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1480&typeid=1472&cid=1480&ksid=1472&id=644,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-7/20140728052912229_s.jpg,01_试点医院/广东省第二中医院/照片/魏东-五山门诊-副主任医师-广东省第二中医院.png,png,47586,787fdbc34ddfc8bea5493b2f29ca643f9b1f9d4c2b1659a153029b040855860d,147,165,FULL_FETCH,
周亦农,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1006&typeid=902&cid=1006&ksid=902&id=435,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-3/20140301123019287_s.jpg,01_试点医院/广东省第二中医院/照片/周亦农-五山门诊-主任医师-广东省第二中医院.png,png,14820,7419306758ccd94742fd139892a86faab44d5c6e580554ab987f6247810cbd19,68,100,FULL_FETCH,
余德钊,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=504,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-1/20140128020344453.jpg,01_试点医院/广东省第二中医院/照片/余德钊-儿科-主任中医师-广东省第二中医院.jpg,jpg,54150,ff60d193aebf18cfb3c257d9b18c29a189fdea3f7fa0ed27e39b16813c0c7973,342,369,FULL_FETCH,
周永霞,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=72&typeid=70&cid=72&ksid=70&id=109,实采,,https://www.gdzy5413.com/UploadFiles/image/upload/633821470657860797.jpg,01_试点医院/广东省第二中医院/照片/周永霞-儿科-主任医师-广东省第二中医院.jpg,jpg,12269,333e5f5f7b8fed816e941d3a1b1b9cd82c848c41f2738ae3616fe8654274f51e,86,126,TRIAL_REUSE,
林晓洁,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=72&typeid=70&cid=72&ksid=70&id=163,实采,,https://www.gdzy5413.com/UploadFiles/image/upload/633869155720456250.jpg,01_试点医院/广东省第二中医院/照片/林晓洁-儿科-主任医师-广东省第二中医院.jpg,jpg,4585,191644512ab912fdbd6299e3a23d77f1930946dedf016f854e52d25ecca911e0,86,112,FULL_FETCH,
陈可静,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=629,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-1/20140128021821905.jpg,01_试点医院/广东省第二中医院/照片/陈可静-儿科-主任中医师-广东省第二中医院.jpg,jpg,50281,261fc236dddecf3b56e1c5e2863ad91fb5df352aafaa2ed105a62afd876b93d1,342,369,FULL_FETCH,
余德钊,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=979&typeid=896&cid=979&ksid=896&id=430,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-6/20140604031630151.jpg,01_试点医院/广东省第二中医院/照片/余德钊-儿科-主任中医师-广东省第二中医院.png,png,25737,c8091a4c699a5ccd6c3828b36292edea9a00978ebde06cf9b29a778770766f5d,120,160,FULL_FETCH,
宋腾菊,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=979&typeid=896&cid=979&ksid=896&id=760,实采,,https://www.gdzy5413.com/UploadFiles/image/2022-10/20221028114705696_s.jpg,01_试点医院/广东省第二中医院/照片/宋腾菊-儿科-副主任医师-广东省第二中医院.png,png,15059,679fc858e66bb4ef116753a29d6933b2bcccef74222b5a722a3aafa75f161aca,76,100,FULL_FETCH,
佘卫吉,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=34&typeid=32&cid=34&ksid=32&id=348,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-3/20140304053239991_s.jpg,01_试点医院/广东省第二中医院/照片/佘卫吉-内分泌科-主治中医师-广东省第二中医院.png,png,28488,b2434cdfed723c9a3e08caf71313dce78364b9d840b7e350b2d4803f979e1f51,116,160,FULL_FETCH,
吕雄,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=634,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-1/20140128125258868.jpg,01_试点医院/广东省第二中医院/照片/吕雄-内分泌科-主任中医师-广东省第二中医院.jpg,jpg,53260,8efad985f7297cf08899a7bc09e999cd03c83e96032d38193d151565711c0d10,342,369,FULL_FETCH,
吕雄,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=34&typeid=32&cid=34&ksid=32&id=345,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-3/20140304053036884_s.jpg,01_试点医院/广东省第二中医院/照片/吕雄-内分泌科-主任中医师-广东省第二中医院.png,png,25339,0fd9d66d15ec5bc41edc71fa25f51ffe41250367e79f55884f50efe1297c0800,116,160,FULL_FETCH,
汪何,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=34&typeid=32&cid=34&ksid=32&id=346,实采,,https://www.gdzy5413.com/UploadFiles/image/upload/634537490751990000.jpg,01_试点医院/广东省第二中医院/照片/汪何-内分泌科-主任中医师-广东省第二中医院.jpg,jpg,18368,4b78a74e204ddda40d1e80a5c7ac485c0274d883c3907b150b9f116ccdfcfe6c,87,125,FULL_FETCH,
莫伟,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=34&typeid=32&cid=34&ksid=32&id=347,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-3/20140304053133237_s.jpg,01_试点医院/广东省第二中医院/照片/莫伟-内分泌科-副主任中医师-广东省第二中医院.png,png,30784,037f75a6a5f54f6ae8a302935fb5e668875271254e910ca2b0367457dba1e1ef,116,160,FULL_FETCH,
任建华,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1151&typeid=1149&cid=1151&ksid=1149&id=554,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-4/20140424015324185_s.jpg,01_试点医院/广东省第二中医院/照片/任建华-内科-主任中医师-广东省第二中医院.png,png,35821,b1e5723f9a63d48ab4555f29fccb184c2ef07ba01567d91138a731c3e014455a,106,160,FULL_FETCH,
冷建国,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1151&typeid=1149&cid=1151&ksid=1149&id=547,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-4/20140424015930768_s.jpg,01_试点医院/广东省第二中医院/照片/冷建国-内科-主任中医师-广东省第二中医院.png,png,29383,ff0beb0435f6270ae2ba7bbc096835ec5de78c24922e20a6b61dbd9bcb9425fa,120,160,FULL_FETCH,
卢桂梅,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=824,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-1/20140114021434426.jpg,01_试点医院/广东省第二中医院/照片/卢桂梅-内科-主任医师-广东省第二中医院.jpg,jpg,51627,42ba8f711e7d21e9674370f09b6e15f63fd1c316148b931abe5ee187e1e9dd46,342,369,FULL_FETCH,
