姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,错误证据
叶文锋,https://www.sysucc.org.cn/node/3927,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/import_images/UploadFiles/expert/prouct_2014_1_22_SVU7CU3Q.jpg?itok=gvPl8eKM,01_试点医院/中山大学肿瘤防治中心/照片/叶文锋-临床营养科-副主任医师-中山大学肿瘤防治中心.jpg,110986,c7083325fd0e6d82ce8def6cf57b5ed38da9f4682815208bd556a875ac4bab7e,400,600,
吴锡文,https://www.sysucc.org.cn/node/12740,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2026-05/%E5%90%B4%E9%94%A1%E6%96%87.jpg?itok=i2dpTSNg,01_试点医院/中山大学肿瘤防治中心/照片/吴锡文-临床营养科-副主任医师-中山大学肿瘤防治中心.jpg,222682,d70b9799fcdb36458b48837e547bacf56774c5432055b1c7c565b3297b61fbc7,400,600,
韩宏裕,https://www.sysucc.org.cn/node/3928,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/import_images/UploadFiles/expert/prouct_2014_1_22_YN2POQHO.jpg?itok=tj2zuhLL,01_试点医院/中山大学肿瘤防治中心/照片/韩宏裕-临床营养科-主任医师-中山大学肿瘤防治中心.jpg,178772,e6c022d6b5f34331abb37b9cd1a61731f919848a58cf7d606dc731acaf2de4f6,400,600,
肖祥胜,https://www.sysucc.org.cn/node/3741,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/xiaoxiangsheng-rxk-202303.jpg?itok=j6jXKHro,01_试点医院/中山大学肿瘤防治中心/照片/肖祥胜-乳腺科-主任医师-中山大学肿瘤防治中心.jpg,182065,d184329d6212df4da9d70f8f2a83308ba2171d9207ea45c3bf8a2713a4e5946d,400,600,
刘鹏,https://www.sysucc.org.cn/node/3742,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-04/liupeng-rxk-202304.jpg?itok=viWCt7S0,01_试点医院/中山大学肿瘤防治中心/照片/刘鹏-乳腺科-主任医师-中山大学肿瘤防治中心.jpg,226582,d18ed20fe78a27b3ff6089e516bc8025e865f6d04e0b4d1cb75e6e93a6914213,400,600,
双泽宇,https://www.sysucc.org.cn/node/3746,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/shuangzeyu-rxk-202303.jpg?itok=i0pTouRG,01_试点医院/中山大学肿瘤防治中心/照片/双泽宇-乳腺科-副主任医师-中山大学肿瘤防治中心.jpg,172710,15e115ab42920a8a54cd486bd549b2b243cb07efc483eeb32fa356c57c12a747,400,600,
叶锋,https://www.sysucc.org.cn/node/6565,失败,详情不可达,,,,,,,照片资源 HTTP 404
吴浩,https://www.sysucc.org.cn/node/8129,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2024-05/%E5%90%B4%E6%B5%A9V2.jpg?itok=iFiH0ROr,01_试点医院/中山大学肿瘤防治中心/照片/吴浩-乳腺科-副主任医师-中山大学肿瘤防治中心.jpg,189167,cf6c1a9298c2923d76e700a7b8d5b9bd10102aff415307755e020c118b13749e,400,600,
唐军,https://www.sysucc.org.cn/node/3738,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/tangjun-rxk-202303.jpg?itok=i5UPRKKH,01_试点医院/中山大学肿瘤防治中心/照片/唐军-乳腺科-主任医师-中山大学肿瘤防治中心.jpg,167691,60883fa5565dda8d082652435fea1777f20af76f87ad78bcb0d1b96ec069a4e8,400,600,
孔亚楠,https://www.sysucc.org.cn/node/3745,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/kongyanan-rxk-202303.jpg?itok=UpfszPlm,01_试点医院/中山大学肿瘤防治中心/照片/孔亚楠-乳腺科-主任医师-中山大学肿瘤防治中心.jpg,163762,b9d1fcd5e625d93bc42b08597a977e5ab363e1a49145fc391bf898d5acf82686,400,600,
