row_number,sequence,hospital,name,source_link,column,removed_length,original_sha256,remaining_sha256,profile_path,profile_replacements,profile_before_sha256,profile_after_sha256
1101,1100,中山大学肿瘤防治中心,邱海波,https://www.sysucc.org.cn/node/3661,详情正文摘录,43,7a431a16e14923de90a473e3f8d8a26e27368d0ffdee285d8dd14d9c89933ead,7fe3d1c02436c9f5ba9f92904437d088beca73e632f67cf17a124b29c9392885,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/邱海波.md,1,f1cdc4b44420c7fa2d827e6fee214ec2407490e7e0a6c81a74b2c7ce1d6dd529,27deb5fc50a9dc6dd79e9ca58ded2d029abf28001a0abdae3744b5a22f5808be
1102,1101,中山大学肿瘤防治中心,陈映波,https://www.sysucc.org.cn/node/3655,详情正文摘录,43,813a53346d0129e53aa5db802e2763c7ae937ce66ca7c860c3467f83ee8c7121,fcfd962335760de3bacf9f8fbd5c8506d4adc3a5ab6d8cbe92488eec9dce7cea,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/陈映波.md,1,0be58d34570970ab2c254ee47847a5a6b61a765ac604eea13cd5b131124aa493,f29f0b94fea39b75ec04a2eb3832b962b6a3b7359214d050515c76128acd5a1b
1103,1102,中山大学肿瘤防治中心,陈永明,https://www.sysucc.org.cn/node/3665,详情正文摘录,43,9743fd6d0f0899c07286cc9d7d71f1a58674f4925246f6be32895d279dee0739,37b899b8acde4a59d3cf592748836a4cb40b6a7a31a45444b897581a3a00ad76,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/陈永明.md,1,86fc3363b1e2efd95551f37fe314eadc71583cca65c7ef368ba86cf9b6d58509,873ffdb0c24476fb01842369bed8c48e10fe67cf39b239c0bead571a47def0b2
1104,1103,中山大学肿瘤防治中心,何朝滨,https://www.sysucc.org.cn/node/9648,详情正文摘录,44,3ce234962c11ba38bc09ca2fae07df5a829f087c27f2b8f05988818ac6e724ea,261c2087c9276939ec52170e566bf20972b21241239c29ef4156fe8012f6fc22,,0,,
1105,1104,中山大学肿瘤防治中心,劳向明,https://www.sysucc.org.cn/node/3651,详情正文摘录,44,6f472c075488dfe9e5f23d1f2a0eb521f34fa0318546541c3690e399a6e5bab5,4513bb66c7e7569ea6445c95f8dc30e5703319341474ff0f741898a91b6cb768,,0,,
1106,1105,中山大学肿瘤防治中心,崔伯康,https://www.sysucc.org.cn/node/3652,详情正文摘录,44,3408cc19ae88e66d05a9743f705431ef174b0d1bf7b2ca5eb63f015a187f7ecc,3040972a973370c45caabb7e01df73d2c6ef4cd089f7bb6b7c9c20dbe5ced36c,,0,,
1107,1106,中山大学肿瘤防治中心,李升平,https://www.sysucc.org.cn/node/3649,详情正文摘录,44,7f79c6ab8dd272372987e12c8fbe0afc86d2230a360abceb51e64cf3683b857c,99a896d00dbde44c4484dbdf22810a89adabfeb8082874184014ebfaae824f3e,,0,,
1108,1107,中山大学肿瘤防治中心,林小军,https://www.sysucc.org.cn/node/3650,详情正文摘录,44,d7a8e26b8c3a7927d969d087953c8ee99a9d03373b340d0f0293399891ec59f1,f68b885e57f36d1dffea6c2568b3f5ccafb921c55a4b99b7c8e0bdb25218349f,,0,,
1109,1108,中山大学肿瘤防治中心,王俊,https://www.sysucc.org.cn/node/3653,详情正文摘录,43,995c6396bd8afda070e1ae98447cb9573afac6e2011d76916869ebc0db328931,18ee8070ac6bae662024ce4dfd4d8e3eaeecf0dffd582573173c512c69542591,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/王俊.md,1,f86c01152452c22048c3affc5f24eec66f02f48b9584e694f789b33ced05a512,cdf7873637964f5898700ea14d3bcb85946bfcec7655b1c8c233271ca8807cb9
1110,1109,中山大学肿瘤防治中心,魏然,https://www.sysucc.org.cn/node/8083,详情正文摘录,43,d646d7228821106908be30ea75167cdb895df9d19402134d928e716acaca5145,45946a0e619ba6b3211ea086a804fb659b15ba22446ec805cff54da865f5ea36,,0,,
1111,1110,中山大学肿瘤防治中心,傅剑华,https://www.sysucc.org.cn/node/3611,详情正文摘录,42,15473f8105143975640e9b36d4e76ab46b121c139a58890343641c52ff70b10e,50dbce322737be7074217296200689cc5ba3fb15a63b18f82b36ebcac7382a4a,,0,,
1112,1111,中山大学肿瘤防治中心,傅夏宇,https://www.sysucc.org.cn/node/8450,详情正文摘录,42,1031c5a7349a84c8c06e8a2ab4159a4cba08ba9a943debeb62a209b8015a7509,7bb9fef53ab22e2a5c0d6b925011b2737f1369151ad83e267cb1d0bd189d2b30,,0,,
1113,1112,中山大学肿瘤防治中心,冷长森,https://www.sysucc.org.cn/node/6477,详情正文摘录,42,b62a03f07b458c7dd2f1e6eddc0a16f878ae9d9250917f7596930d25d1ffeb0d,c6b26882a7a9b4aeaa8d2f9f4ad8e9081db5da0568a6965e8e231f279e212ddc,,0,,
1114,1113,中山大学肿瘤防治中心,刘乾文,https://www.sysucc.org.cn/node/3626,详情正文摘录,42,9f8bab17f0dfb83dfab3a0c966b7f248e91b160c6cf1242a1766a1866cca2130,2fd61a470d4dc59f89c20aee68979a0ad3df402985f93bdf02f192eab233648a,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/刘乾文.md,1,f971b908bafc5443ad0c92a18c906d52cc7605e1d142ab8200b33b22f7a38d42,169875fe2a485b902f0dd2794f5c57f36b5d21f9605284b159b2cbfef257e479
