姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,魔数,宽,高,引用路径风格,错误证据
欧阳顺林,https://www.gy3y.cn/ks/wgk/ebhk/doctor_171.html,实采,,https://www.gy3y.cn/Upload/202603/639084061198186136.png,01_试点医院/广州医科大学附属第三医院/照片/欧阳顺林-荔湾院区耳鼻喉科-主任医师-广州医科大学附属第三医院.png,318335,5fa54afbf378018fd7829c15b49f540c8b8ee20e8979bd6b27437df2a8944c33,89504E470D0A1A0A0000000D,230,345,Upload原图,
史剑杰,https://www.gy3y.cn/ks/wgk/kqk/doctor_178.html,实采,,https://www.gy3y.cn/Upload/201411/6355138378498060292023511.jpg,01_试点医院/广州医科大学附属第三医院/照片/史剑杰-荔湾院区口腔科-主任医师-广州医科大学附属第三医院.jpg,34940,fc6cb3f56d2cc98cf9e37fdd7ff1aff9e005b62531edd9ba7dd9322c418b19af,FFD8FFE111B0457869660000,200,279,Upload原图,
翁智胜,https://www.gy3y.cn/ks/mjz/pfk/doctor_181.html,实采,,https://www.gy3y.cn/Upload/201411/6355138488174977993450206.jpg,01_试点医院/广州医科大学附属第三医院/照片/翁智胜-荔湾院区皮肤科-主任医师-广州医科大学附属第三医院.jpg,32284,310d35f2acc52541f311b9f1167380fe3640f31a19382686f2e8ec023a405e46,FFD8FFE112FE457869660000,200,266,Upload原图,
彭洁雯,https://www.gy3y.cn/ks/mjz/pfk/doctor_183.html,实采,,https://www.gy3y.cn/Upload/201411/6355138496860699026513493.jpg,01_试点医院/广州医科大学附属第三医院/照片/彭洁雯-荔湾院区皮肤科-副主任医师-广州医科大学附属第三医院.jpg,33677,b50d6b94fe735e93adf3522a5a3e5ae3977d66469f071f5f193dac1be3c1f69a,FFD8FFE1146E457869660000,200,266,Upload原图,
秦媛怡,https://www.gy3y.cn/ks/mjz/tjzx/doctor_188.html,实采,,https://www.gy3y.cn/Upload/202506/638847177129839649.jpg,01_试点医院/广州医科大学附属第三医院/照片/秦媛怡-荔湾院区健康管理中心-副主任医师-广州医科大学附属第三医院.jpg,30165,0b418474795067e9ff13b187a7e0095bfd15e375379b550e2fb0b11b305198c8,FFD8FFE10AA5457869660000,200,266,Upload原图,
蔡名金,https://www.gy3y.cn/ks/yjbm/fsk/doctor_189.html,实采,,https://www.gy3y.cn/Upload/202310/638340001529611880.jpg,01_试点医院/广州医科大学附属第三医院/照片/蔡名金-荔湾院区放射科-主任医师-广州医科大学附属第三医院.jpg,1000949,182fc8c7ca6efce7908ce07f764acc4e3123fccb6c24b2ee4b5bde141ae2e693,FFD8FFE11247457869660000,1344,1788,Upload原图,
麦伟文,https://www.gy3y.cn/ks/yjbm/fsk/doctor_190.html,失败,详情不可达,,,,,,,,,第 1 轮 HTTP 302→200@2026-08-17T11:32:40Z Content-Type text/plain；页面标题 404；第 2 轮 HTTP 302→200@2026-08-17T11:33:40Z Content-Type text/plain；页面标题 404；第 3 轮 HTTP 302→200@2026-08-17T11:34:40Z Content-Type text/plain；页面标题 404；第 4 轮 HTTP 302→200@2026-08-17T11:35:40Z Content-Type text/plain；页面标题 404；第 5 轮 HTTP 302→200@2026-08-17T11:36:40Z Content-Type text/plain；页面标题 404
梁伟翔,https://www.gy3y.cn/ks/yjbm/csyx/doctor_192.html,实采,,https://www.gy3y.cn/Upload/202301/638094746033475679.png,01_试点医院/广州医科大学附属第三医院/照片/梁伟翔-荔湾院区超声医学科-主任医师-广州医科大学附属第三医院.png,88650,15cbe7bf36932e410790c87c937557db952d289c724173d587ebe0cab449e616,89504E470D0A1A0A0000000D,200,266,Upload原图,
谢亦农,https://www.gy3y.cn/ks/fckyjs/cqzdk/doctor_193.html,实采,,https://www.gy3y.cn/Upload/201411/6355138901656686911018522.jpg,01_试点医院/广州医科大学附属第三医院/照片/谢亦农-荔湾院区产前诊断科（胎儿医学中心）-主任医师-广州医科大学附属第三医院.jpg,33506,fa9dbf33f14199f4fcee648cad46fabaa55fe7253c6be8be9b7f9da7c05063d8,FFD8FFE1145F457869660000,200,266,Upload原图,
王伟群,https://www.gy3y.cn/ks/yjbm/csyx/doctor_194.html,实采,,https://www.gy3y.cn/Upload/202301/638095491158169883.png,01_试点医院/广州医科大学附属第三医院/照片/王伟群-荔湾院区超声医学科-主任医师-广州医科大学附属第三医院.png,57120,a3fa919ff366cf4d3b8eac45dda969e03e2679df6e3568938a9545e1d70d6e3f,89504E470D0A1A0A0000000D,200,266,Upload原图,
