详情ID,姓名,来源链接,状态,失败分类,照片引用数,照片链接,照片文件,声明格式,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
4846,吉苏云,https://www.gdskin.com/ShowNews.ASPX?ID=4846,实采,,1,https://www.gdskin.com/uploadimg/吉苏云.jpg,01_试点医院/南方医科大学皮肤病医院/照片/吉苏云-皮肤内科-副主任医师-南方医科大学皮肤病医院.jpg,jpg,jpg,526479,e2b74bec18c43d923b984881dc7a8dd3772a2066f7754c3d93717002d481c1ca,800,1200,TRIAL_REUSE,
3850,吴铁强,https://www.gdskin.com/ShowNews.ASPX?ID=3850,实采,,1,https://www.gdskin.com/uploadimg/吴铁强.jpg,01_试点医院/南方医科大学皮肤病医院/照片/吴铁强-皮肤内科-主任医师-南方医科大学皮肤病医院.jpg,jpg,jpg,570064,e9fcac4f615745fade7830bfc184ecbed8206f39ea1509067259f85fac3e39b0,800,1200,FULL_FETCH,
4999,席丽艳,https://www.gdskin.com/ShowNews.ASPX?ID=4999,失败留空,占位图,1,,,,,,,,,FULL_FETCH,"{""detection_feature"":""页面引用命中占位门禁：explicit_chinese_placeholder_filename"",""excluded_resource_examples"":[{""feature"":""raw_reference='../system_dntb/../uploadimg/占位.png'; marker=explicit_chinese_placeholder_filename"",""reason"":""占位图"",""url"":""https://www.gdskin.com/uploadimg/占位.png""}],""observed_utc"":""2026-08-19T12:57:35Z"",""photo_reference_count"":1,""resource_urls"":[""https://www.gdskin.com/uploadimg/占位.png""],""template_signature"":""unique body img src resolving under /uploadimg/""}"
5574,张娇,https://www.gdskin.com/ShowNews.ASPX?ID=5574,实采,,1,https://www.gdskin.com/uploadimg/张娇.jpg,01_试点医院/南方医科大学皮肤病医院/照片/张娇-皮肤内科-主治医师-南方医科大学皮肤病医院.jpg,jpg,jpg,538972,841a69ba105438924400cd2de8c0ea8daa152d783fee3960b60454417d6f21fe,800,1200,FULL_FETCH,
5568,张桂英,https://www.gdskin.com/ShowNews.ASPX?ID=5568,失败留空,占位图,1,,,,,,,,,FULL_FETCH,"{""detection_feature"":""页面引用命中占位门禁：explicit_chinese_placeholder_filename"",""excluded_resource_examples"":[{""feature"":""raw_reference='../system_dntb/../uploadimg/占位.png'; marker=explicit_chinese_placeholder_filename"",""reason"":""占位图"",""url"":""https://www.gdskin.com/uploadimg/占位.png""}],""observed_utc"":""2026-08-19T12:57:41Z"",""photo_reference_count"":1,""resource_urls"":[""https://www.gdskin.com/uploadimg/占位.png""],""template_signature"":""unique body img src resolving under /uploadimg/""}"
5740,文玮,https://www.gdskin.com/ShowNews.ASPX?ID=5740,实采,,1,https://www.gdskin.com/uploadimg/文玮.jpg,01_试点医院/南方医科大学皮肤病医院/照片/文玮-皮肤内科-主治医师-南方医科大学皮肤病医院.jpg,jpg,jpg,603292,bc86ada04dd7eadc75c39eaa96e8fabddc0ac88ab2fe9909f9bf7bef98b50f5e,800,1200,FULL_FETCH,
4998,曾仁山,https://www.gdskin.com/ShowNews.ASPX?ID=4998,失败留空,占位图,1,,,,,,,,,FULL_FETCH,"{""detection_feature"":""页面引用命中占位门禁：explicit_chinese_placeholder_filename"",""excluded_resource_examples"":[{""feature"":""raw_reference='../uploadimg/%E5%8D%A0%E4%BD%8D.png'; marker=explicit_chinese_placeholder_filename"",""reason"":""占位图"",""url"":""https://www.gdskin.com/uploadimg/%E5%8D%A0%E4%BD%8D.png""}],""observed_utc"":""2026-08-19T12:57:47Z"",""photo_reference_count"":1,""resource_urls"":[""https://www.gdskin.com/uploadimg/%E5%8D%A0%E4%BD%8D.png""],""template_signature"":""unique body img src resolving under /uploadimg/""}"
7052,朱冠男,https://www.gdskin.com/ShowNews.ASPX?ID=7052,失败留空,无照片容器,0,,,,,,,,,FULL_FETCH,"{""detection_feature"":""HTTP 200 detail contains no same-site /uploadimg/ img reference; WebResource and filing/site decoration images remain excluded"",""excluded_resource_examples"":[{""feature"":""not a same-site /uploadimg/ page reference"",""reason"":""站架或装饰图排除"",""url"":""/WebResource.axd?d=i1jrqrQ5Kgeceqa-4r2Prip3erkO_WPURaIAym9bE6uJ1sr6AKQU-zo6EcPaa66hH789hLxp5yc2rXy2QGScC-lyZXSK9tlKQ3zYUcDzpi41&t=638259654740000000""},{""feature"":""not a same-site /uploadimg/ page reference"",""reason"":""站架或装饰图排除"",""url"":""../system_dntb/../uploadpicture/微信图片_20250303084508.jpg""},{""feature"":""not a same-site /uploadimg/ page reference"",""reason"":""站架或装饰图排除"",""url"":""images/备案图标.png""}],""observed_utc"":""2026-08-19T12:57:49Z"",""photo_reference_count"":0,""resource_urls"":[""/WebResource.axd?d=i1jrqrQ5Kgeceqa-4r2Prip3erkO_WPURaIAym9bE6uJ1sr6AKQU-zo6EcPaa66hH789hLxp5yc2rXy2QGScC-lyZXSK9tlKQ3zYUcDzpi41&t=638259654740000000"",""../system_dntb/../uploadpicture/微信图片_20250303084508.jpg"",""images/备案图标.png""],""template_signature"":""unique body img src resolving under /uploadimg/""}"
5577,沈伟钦,https://www.gdskin.com/ShowNews.ASPX?ID=5577,实采,,1,https://www.gdskin.com/uploadimg/沈伟钦.jpg,01_试点医院/南方医科大学皮肤病医院/照片/沈伟钦-皮肤内科-主治医师-南方医科大学皮肤病医院.jpg,jpg,jpg,541963,4da613d9101776ea06a7c8df7f17465324a8d51d7a5eb4e046a006c33d6be5fb,800,1200,FULL_FETCH,
5569,王宇,https://www.gdskin.com/ShowNews.ASPX?ID=5569,实采,,1,https://www.gdskin.com/uploadimg/王宇.jpg,01_试点医院/南方医科大学皮肤病医院/照片/王宇-皮肤内科-副主任医师-南方医科大学皮肤病医院.jpg,jpg,jpg,621873,d0ddbac2ebf90131156fef54ced227987db6d40886ab8c45037b0907316f389e,800,1200,FULL_FETCH,
