姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,错误证据
周立军,http://www.gzzoc.org.cn/node/3169,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-09/%E5%91%A8%E7%AB%8B%E5%86%9B.jpg?itok=L5ocdqrL,01_试点医院/中山大学中山眼科中心/照片/周立军-玻璃体-主治医师-中山大学中山眼科中心.jpg,320160,44c3536c9660c4f4ee0c96532a0457b47d6d64442a6ec58c6ee1028ca098dff0,960,960,
徐晓宇,http://www.gzzoc.org.cn/node/3136,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E5%BE%90%E6%99%93%E5%AE%87.jpg?itok=VGHdDpKW,01_试点医院/中山大学中山眼科中心/照片/徐晓宇-玻璃体-副主任医师-中山大学中山眼科中心.jpg,834220,717c6b4c9bb0fa400e9843536106b0df80dafd86e3dce46a8464199b0a44e112,960,1440,
杨晖,http://www.gzzoc.org.cn/node/3137,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E6%9D%A8%E6%99%96.jpg?itok=fkUmxDNQ,01_试点医院/中山大学中山眼科中心/照片/杨晖-玻璃体-主任医师-中山大学中山眼科中心.jpg,705771,660b3ac2328985712d9fc0bc726a0c86af0a450b4384c3fa8622a68edf88f326,960,1440,
林英,http://www.gzzoc.org.cn/node/3181,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E6%9E%97%E8%8B%B1.jpg?itok=ZI10-SxF,01_试点医院/中山大学中山眼科中心/照片/林英-玻璃体-主任医师-中山大学中山眼科中心.jpg,1106679,33d2514b11fce8fddf8566050f3c7b7d89259a2571715eaa879ff8c1df531d9f,960,1440,
米兰,http://www.gzzoc.org.cn/node/3167,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E7%B1%B3%E5%85%B0.jpg?itok=gnU_jNxs,01_试点医院/中山大学中山眼科中心/照片/米兰-玻璃体-主治医师-中山大学中山眼科中心.jpg,739998,b20ecfe200b8f0eea44da7047e307f52d33e7c468087674ba1f81b7edd0ffbd3,960,1440,
肖欧,http://www.gzzoc.org.cn/node/3165,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E8%82%96%E6%AC%A7.jpg?itok=P9ARfQGH,01_试点医院/中山大学中山眼科中心/照片/肖欧-玻璃体-主治医师-中山大学中山眼科中心.jpg,860531,253e3c0a166da9d1f59dbf97e6e947e928f01988dd458fe6ce2fda1f38940e31,960,1440,
邓飞,http://www.gzzoc.org.cn/node/3164,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E9%82%93%E9%A3%9E.jpg?itok=ErGodthC,01_试点医院/中山大学中山眼科中心/照片/邓飞-玻璃体-主治医师-中山大学中山眼科中心.jpg,829525,5047451816ce4d5796e80b40d7eed4864a8be3ffeb1ce7139e4c86ec54f1046b,960,1440,
钟晓菁,http://www.gzzoc.org.cn/node/3133,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2024-07/zhongxiaojing.png?itok=kyKsuwki,01_试点医院/中山大学中山眼科中心/照片/钟晓菁-玻璃体-助理研究员-中山大学中山眼科中心.png,410932,c3e866e46cc5c1f428c7df9efa037aecb3d47b3e9a7f52a0d745d6d9cdf9348c,960,1120,
钟秀风,http://www.gzzoc.org.cn/node/12283,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2024-01/zhongxiufengjiaoshouzhaopian.jpg?itok=kLGdqVas,01_试点医院/中山大学中山眼科中心/照片/钟秀风-玻璃体-教授-中山大学中山眼科中心.jpg,819970,3af5b7a55b072a445aa5f66463b89489631c14eefd27d71c59a41ce163fb56d3,960,1440,
黄创新,http://www.gzzoc.org.cn/node/3138,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-11/huangchuangxin_2.png?itok=GEr-Y1iq,01_试点医院/中山大学中山眼科中心/照片/黄创新-玻璃体-副主任医师-中山大学中山眼科中心.png,688225,0a4d6d8a1d5faac980717f0b8103f4aa75540ef8f468c6a7df77cd283a4c22f4,960,1440,
