姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,错误证据
孔庆磊,https://www.zssy.com.cn/node/15205,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/1c1c2b18df2bd800fd3ac7cd484600a.jpg,01_试点医院/中山大学附属第三医院/照片/孔庆磊-急诊医学科-副主任医师-中山大学附属第三医院.jpg,92667,7b3d69c2b009e1c996430e717af110a1c26d29b5867af1d696a3ff8cd64b6e37,413,579,
张永标,https://www.zssy.com.cn/node/11277,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E5%BC%A0%E6%B0%B8%E6%A0%87%E4%B8%AA%E4%BA%BA%E7%AE%80%E4%BB%8B336.png,01_试点医院/中山大学附属第三医院/照片/张永标-急诊医学科-主任医师-中山大学附属第三医院.png,206089,35f5d13340bd049a88a6ce924a7cde9e7dcb05bf90e6dd99f7395d6d20a27cb6,196,262,
杨晓燕,https://www.zssy.com.cn/node/11299,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2019030717183851049562.jpg,01_试点医院/中山大学附属第三医院/照片/杨晓燕-急诊医学科-副主任医师-中山大学附属第三医院.jpg,77199,272e29b722218691544fcb84aea42b1d6fbbf4c02ffc4188ca327eab6e8b96e1,390,567,
邢帮荣,https://www.zssy.com.cn/node/11271,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2019030717181863838277.jpg,01_试点医院/中山大学附属第三医院/照片/邢帮荣-急诊医学科-副主任医师-中山大学附属第三医院.jpg,152343,a3e3a1f72aa13fff902b30e1056630d9fb2c24f87ac6149928954b92dc55a0de,550,800,
郑常龙,https://www.zssy.com.cn/node/15203,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E9%83%91%E5%B8%B8%E9%BE%99.jpg,01_试点医院/中山大学附属第三医院/照片/郑常龙-急诊医学科-副主任医师-中山大学附属第三医院.jpg,23370,b7dddb1f91c36975210f33b6b78d36ead48b547ee41a3dd06e0660d4c0c82f79,246,324,
严颖,https://www.zssy.com.cn/node/11091,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2013100816442807906176.jpg,01_试点医院/中山大学附属第三医院/照片/严颖-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,13920,5142493875a94f9c1fb761473da2eeb54eb21d934b2645ce117b99b4db14a13f,111,150,
刘莹,https://www.zssy.com.cn/node/15051,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E5%88%98%E8%8E%B9.jpg,01_试点医院/中山大学附属第三医院/照片/刘莹-感染性疾病科-主任医师-中山大学附属第三医院.jpg,110483,80c5c93bc5f62dd1a8907c63c87e3cd9056afb9ad2b015cc5b4d595c1d5849ac,777,865,
刘静,https://www.zssy.com.cn/node/11076,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2017031508070558806723.jpg,01_试点医院/中山大学附属第三医院/照片/刘静-感染性疾病科-主任医师-中山大学附属第三医院.jpg,135834,c5f4b9ea3cde2f5cac30d359b63adfbba61e296f428a78ed3b3a49d35621093a,1598,2183,
吴元凯,https://www.zssy.com.cn/node/15042,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E5%90%B4%E5%85%83%E5%87%AF.jpg,01_试点医院/中山大学附属第三医院/照片/吴元凯-感染性疾病科-主任医师-中山大学附属第三医院.jpg,244979,5ef27ee50341a571d228a6b1a831a4dc9fe5c1afa9f51d21f3e283c6286889c3,500,667,
崇雨田,https://www.zssy.com.cn/node/15024,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/53%E5%B4%87%E9%9B%A8%E7%94%B0.jpg,01_试点医院/中山大学附属第三医院/照片/崇雨田-感染性疾病科-主任医师-中山大学附属第三医院.jpg,222714,2ec212924c54fa76e921cc8ed558c4cb7198641d556738a42a233113f5968d17,500,667,
