详情ID,姓名,来源链接,状态,失败分类,照片引用数,照片链接,照片文件,声明格式,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
482,杨叶青,https://www.smukqyy.cn/prods/434/482,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2021-05-06/609355e00f3b9.jpg,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/杨叶青-牙体牙髓病科二室-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,jpg,jpg,134385,8376cf8f808c977396d37fdab6eb6fd92aa98d5b2cb034c36c2082f1eadccce5,426,638,FULL_FETCH,
535,陈洋,https://www.smukqyy.cn/prods/434/535,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2021-12-09/61b1a87a9c873.jpg,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/陈洋-牙体牙髓病科二室-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,jpg,jpg,170519,8d43efd964d19d049d161804704ff3d2e061799e8f126853c3eb86a724b4f40c,860,1280,FULL_FETCH,
364,黄沁,https://www.smukqyy.cn/prods/434/364,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2020-01-09/5e16cccb5ab02.png,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/黄沁-牙体牙髓病科二室-主治医师-南方医科大学口腔医院(海珠广场院区).png,png,png,419889,6976f54db0b13212c29921b05a80b51ace8253f8142b33bf5e4daf750c036c44,480,721,FULL_FETCH,
520,黄紫荆,https://www.smukqyy.cn/prods/434/520,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2021-08-27/612897e5c6f1d.jpg,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/黄紫荆-牙体牙髓病科二室-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,jpg,jpg,882070,02f83460c938dafc12462b5baaa3890b91ddca3a616000f1b9f85d3bc9253451,1057,1575,FULL_FETCH,
564,冉高英,https://www.smukqyy.cn/prods/386/564,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2024-03-28/66050d9c97500.jpg,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/冉高英-牙周黏膜病科-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,jpg,jpg,1269406,76f2d47a065b698bbdac3f990825ebc92b97bc3e0d1039b03fbd99ef7e11e467,2296,3215,FULL_FETCH,
511,刘小豪,https://www.smukqyy.cn/prods/386/511,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2023-04-27/644a2bb345c58.jpg,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/刘小豪-牙周黏膜病科-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,jpg,jpg,615369,c6a62e847a13802cbae346f83586eaf97df64d6596b967addab9e54cf8eb7a7d,3162,4743,FULL_FETCH,
702,廖阳阳,https://www.smukqyy.cn/prods/386/702,实采,,1,https://www.smukqyy.cn/Uploads/Upload//2026-07-07/178339201534244.png,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/廖阳阳-牙周黏膜病科-副主任医师-南方医科大学口腔医院(海珠广场院区).png,png,png,7191769,7c675b6d0c19e722fcf3a01335aa1702224f4365ac9e1759e642cbe65a87bb42,3956,5120,FULL_FETCH,
156,李胡锐,https://www.smukqyy.cn/prods/386/156,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2018-07-09/5b431809405e3.JPG,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/李胡锐-牙周黏膜病科-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,jpg,jpg,122529,cf64e735f4e7e5783dbbf713a4b30c2135f1d0552f4f5248aa1ae344c0f884dc,300,450,FULL_FETCH,
604,郭怡,https://www.smukqyy.cn/prods/386/604,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2024-08-14/66bc146de1270.png,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/郭怡-牙周黏膜病科-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,png,jpg,253750,a3655c273dc3a8b95a9a0ed5536ae55e80363c18d8525a66d0ffc925991658f7,632,949,FULL_FETCH,
532,唐凤翔,https://www.smukqyy.cn/prods/504/532,实采,,1,https://www.smukqyy.cn/Uploads/Upload/2021-11-02/6180c7563e11c.jpg,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/唐凤翔-舒适化治疗中心-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,jpg,jpg,331927,ef2884e2155aad7d66c26380049d8e03e47b95d539c3bce68033d9e67c824e42,591,880,TRIAL_REUSE,
620,夏璇,https://www.smukqyy.cn/prods/504/620,实采,,1,https://www.smukqyy.cn/Uploads/Upload//2024-11-04/173071745772142.png,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/夏璇-舒适化治疗中心-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,png,jpg,52921,0ef6b21d0152620eee82af465390967558a54353dd46e358aff5815ca2f72bd5,332,468,FULL_FETCH,
618,姚林川,https://www.smukqyy.cn/prods/504/618,实采,,1,https://www.smukqyy.cn/Uploads/Upload//2024-11-04/173071700759898.png,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/姚林川-舒适化治疗中心-主治医师-南方医科大学口腔医院(海珠广场院区).jpg,png,jpg,64536,ba80d11a43316b58ac5354f349ae903b024cfd2b3a2bc477ba7b23ebfb6b4f01,318,477,FULL_FETCH,
622,谢飞,https://www.smukqyy.cn/prods/504/622,实采,,1,https://www.smukqyy.cn/Uploads/Upload//2024-11-04/173071821596756.png,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/谢飞-舒适化治疗中心-副主任医师-南方医科大学口腔医院(海珠广场院区).jpg,png,jpg,61739,74c0f9a7357b59bf60fa6d766b5dce3195fc239690a88d9f965a2d5f3abb956a,302,451,FULL_FETCH,
619,雷蕾,https://www.smukqyy.cn/prods/504/619,实采,,1,https://www.smukqyy.cn/Uploads/Upload//2024-11-04/173071736927686.png,01_试点医院/南方医科大学口腔医院(海珠广场院区)/照片/雷蕾-舒适化治疗中心-主治医师-南方医科大学口腔医院(海珠广场院区).png,png,png,174989,9fe66d376b594ffbba270c4b03b18a0a384269a4014ad9cc2a7a4e86904eeb45,315,470,FULL_FETCH,
