详情ID,姓名,来源链接,状态,失败分类,照片引用数,照片链接,照片文件,声明格式,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
466,邓吕红,http://www.ny5y.cn/yisheng_xq.php?id=466,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260304/1772596404396021.jpg,01_试点医院/南方医科大学第五附属医院/照片/邓吕红-眼科-主任医师-南方医科大学第五附属医院.jpg,jpg,jpg,331927,efa0e7eef74979fac3ea3b9dc5f7c8d390c817a93c742d4e2e94c8788e07cf61,1733,1784,FULL_FETCH,
285,王宏波,http://www.ny5y.cn/yisheng_xq.php?id=285,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221012/1665557045637989.png,01_试点医院/南方医科大学第五附属医院/照片/王宏波-神经内科-副主任医师-南方医科大学第五附属医院.png,png,png,112977,ffc7eaab1959360340212968758e75ee6df235bed04c69ab589264e6d47e82a4,413,579,FULL_FETCH,
284,骆焕洪,http://www.ny5y.cn/yisheng_xq.php?id=284,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221012/1665557017289603.png,01_试点医院/南方医科大学第五附属医院/照片/骆焕洪-神经内科-副主任医师-南方医科大学第五附属医院.png,png,png,133003,77655ef7047f6a213b1a1119f222d8b8d6ad33473331de5fff72da0df445d9b1,413,579,FULL_FETCH,
287,张腾,http://www.ny5y.cn/yisheng_xq.php?id=287,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221012/1665562494240805.png,01_试点医院/南方医科大学第五附属医院/照片/张腾-神经外科-副主任医师-南方医科大学第五附属医院.png,png,png,185506,f12ea06cb63cfe4399f82caea45374d784c9c7dd64fc56e7731b2fba1748b41d,413,579,FULL_FETCH,
289,沈云龙,http://www.ny5y.cn/yisheng_xq.php?id=289,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221014/1665715201688508.png,01_试点医院/南方医科大学第五附属医院/照片/沈云龙-神经外科-主任医师-南方医科大学第五附属医院.png,png,png,175317,9fefce77545ba86351951b4917b9569ea602a963e2108e5873b141037d9fde83,413,579,FULL_FETCH,
465,蒋文武,http://www.ny5y.cn/yisheng_xq.php?id=465,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221012/1665562216492455.png,01_试点医院/南方医科大学第五附属医院/照片/蒋文武-神经外科-主任医师-南方医科大学第五附属医院.png,png,png,169362,a97218441c27d658a70ed1d552b05fc2fcee4c939bad341b90a70553c12e1526,413,579,FULL_FETCH,
521,王微,http://www.ny5y.cn/yisheng_xq.php?id=521,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20230417/1681723308803962.jpg,01_试点医院/南方医科大学第五附属医院/照片/王微-老年医学科-主任医师-南方医科大学第五附属医院.jpg,jpg,jpg,401264,831edde502eb15583d931f3476de4c2b58447b9d526a1a9b6ee590285cf8da5e,2604,3645,FULL_FETCH,
237,姚榕威,http://www.ny5y.cn/yisheng_xq.php?id=237,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665628081131337.png,01_试点医院/南方医科大学第五附属医院/照片/姚榕威-耳鼻咽喉科-副主任医师-南方医科大学第五附属医院.png,png,png,221138,07ebbbd233980b06740fe517d0adecaf9e6d1ef9eba4adcfbb8998b1a487be2b,413,579,FULL_FETCH,
236,易维,http://www.ny5y.cn/yisheng_xq.php?id=236,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665628016745439.png,01_试点医院/南方医科大学第五附属医院/照片/易维-耳鼻咽喉科-副主任医师-南方医科大学第五附属医院.png,png,png,215044,b8adc981a9868109538f2391e98826403b51c76339bc86c9f04199fd8172b5be,413,579,FULL_FETCH,
36,欧阳绍基,http://www.ny5y.cn/yisheng_xq.php?id=36,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665627827228886.png,01_试点医院/南方医科大学第五附属医院/照片/欧阳绍基-耳鼻咽喉科-主任医师-南方医科大学第五附属医院.png,png,png,229145,102487ac34b764027f08a96b9ef6967799801062520ee6a9d6c63675b9fde31b,413,579,FULL_FETCH,
