ID,姓名,来源链接,状态,失败分类,分类状态,API category,API keshi_ids,API image 字段原值,照片链接,照片文件,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
3,杨莉,https://www.gykqyy.com/list.html?category=55&id=3,实采,,FINAL,55,39,https://www.gykqyy.com/uploads/20240710/128221a530d6adfa905c3021325dba2a.jpg,https://www.gykqyy.com/uploads/20240710/128221a530d6adfa905c3021325dba2a.jpg,01_试点医院/广州医科大学附属口腔医院/照片/杨莉-专家门诊特诊中心-主任医师-广州医科大学附属口腔医院.jpg,jpg,473571,59e7939b8d4174648b3ea19786eef74b896cf06a09d1ab224ad327083f52afca,2168,3083,FULL_FETCH,
52,欧阳可雄,https://www.gykqyy.com/list.html?category=55&id=52,实采,,FINAL,55,6,https://www.gykqyy.com/uploads/20240710/ce9c797e2b5f8c5877865a37939018f7.jpg,https://www.gykqyy.com/uploads/20240710/ce9c797e2b5f8c5877865a37939018f7.jpg,01_试点医院/广州医科大学附属口腔医院/照片/欧阳可雄-荔湾院区口腔颌面外科-主任医师-广州医科大学附属口腔医院.jpg,jpg,462323,0b1f2751e771b730cc17258d36d71d8e72cac73c742f79f4addebc79f1cbed5c,2366,3186,FULL_FETCH,
301,王朝俭,https://www.gykqyy.com/list.html?category=55&id=301,实采,,FINAL,55,34,https://www.gykqyy.com/uploads/20240716/3bbee6080a3debb309bb60167174e946.png,https://www.gykqyy.com/uploads/20240716/3bbee6080a3debb309bb60167174e946.png,01_试点医院/广州医科大学附属口腔医院/照片/王朝俭-放射科-主任医师-广州医科大学附属口腔医院.png,png,422954,bb9f785a6d48c6e7cd5749fe112a1cbab355b43d23a95cb883e626b0019e5a4a,483,702,FULL_FETCH,
182,鲍喆煊,https://www.gykqyy.com/list.html?category=55&id=182,实采,,FINAL,55,"18,31",https://www.gykqyy.com/uploads/20240710/d73b0912342d654b47cb0cbe8066c4fa.jpg,https://www.gykqyy.com/uploads/20240710/d73b0912342d654b47cb0cbe8066c4fa.jpg,01_试点医院/广州医科大学附属口腔医院/照片/鲍喆煊-越秀院区口腔黏膜病科-主任医师-广州医科大学附属口腔医院.jpg,jpg,684974,8803d48e04c1e62e616ec2003e0d7e685a81681938869f7e57e05db97a7bc76a,2740,3747,FULL_FETCH,
111,陈良娇,https://www.gykqyy.com/list.html?category=55&id=111,实采,,FINAL,55,13,https://www.gykqyy.com/uploads/20240710/cb51ca0410a3755c3a41c3a13cf64a96.jpg,https://www.gykqyy.com/uploads/20240710/cb51ca0410a3755c3a41c3a13cf64a96.jpg,01_试点医院/广州医科大学附属口腔医院/照片/陈良娇-荔湾院区口腔正畸科-主任医师-广州医科大学附属口腔医院.jpg,jpg,486986,f05e6cf08a4e946edf3171c043a06c9a65e4b3d82a1ae0e4fd07d42829166445,2303,2972,FULL_FETCH,
239,于淼,https://www.gykqyy.com/list.html?category=55&id=239,实采,,FINAL,55,"21,39",https://www.gykqyy.com/uploads/20240710/16bcab4d67425e158f51c37dd56bef4e.jpg,https://www.gykqyy.com/uploads/20240710/16bcab4d67425e158f51c37dd56bef4e.jpg,01_试点医院/广州医科大学附属口腔医院/照片/于淼-越秀院区牙周病科-主任医师-广州医科大学附属口腔医院.jpg,jpg,677770,9df797278cf27f1b8a579a9d3c2f240c0842767de570cf85a5ab839d4c65bd9a,2750,3573,FULL_FETCH,
302,覃兆军,https://www.gykqyy.com/list.html?category=55&id=302,实采,,FINAL,55,35,https://www.gykqyy.com/uploads/20240716/52fef2497fe58f83a8f04214c4d27d17.jpg,https://www.gykqyy.com/uploads/20240716/52fef2497fe58f83a8f04214c4d27d17.jpg,01_试点医院/广州医科大学附属口腔医院/照片/覃兆军-麻醉手术中心-主任医师-广州医科大学附属口腔医院.jpg,jpg,69012,d3a96292666eb64bf9ef280cb52a0fb76db0995cd7b0d2071bc1efaaf881ccaf,912,1280,FULL_FETCH,
259,陈建明,https://www.gykqyy.com/list.html?category=55&id=259,实采,,FINAL,55,22,https://www.gykqyy.com/uploads/20240710/0db673f76728b580fddec1b2d687c628.jpg,https://www.gykqyy.com/uploads/20240710/0db673f76728b580fddec1b2d687c628.jpg,01_试点医院/广州医科大学附属口腔医院/照片/陈建明-越秀院区口腔正畸科-主任医师-广州医科大学附属口腔医院.jpg,jpg,665922,feac2ad90a6e9c89103227d565d3bd864c7a60a7f43d376c38e20c97875a1d15,2652,3396,FULL_FETCH,
171,周丽斌,https://www.gykqyy.com/list.html?category=55&id=171,实采,,FINAL,55,17,https://www.gykqyy.com/uploads/20240710/baa380fc599a453a34f0e64af45c1711.jpg,https://www.gykqyy.com/uploads/20240710/baa380fc599a453a34f0e64af45c1711.jpg,01_试点医院/广州医科大学附属口腔医院/照片/周丽斌-越秀院区口腔颌面外科-主任医师-广州医科大学附属口腔医院.jpg,jpg,528245,54b6717756aee152f7a2f13aed9692458eacb45b0363cde6eed50f3347312a41,2321,3154,FULL_FETCH,
20,于丽娜,https://www.gykqyy.com/list.html?category=55&id=20,实采,,FINAL,55,4,https://www.gykqyy.com/uploads/20240710/e4dd98fca998e76cacb4e1409e6a4f71.jpg,https://www.gykqyy.com/uploads/20240710/e4dd98fca998e76cacb4e1409e6a4f71.jpg,01_试点医院/广州医科大学附属口腔医院/照片/于丽娜-口腔预防科-主任医师-广州医科大学附属口腔医院.jpg,jpg,598534,732468faaa9b92ee45ceffadeda4688771b3a48dfd299f01d49257507279d00f,2635,3628,FULL_FETCH,
