姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,来源批次,错误证据
陈耀庭,https://www.gzsys.org.cn/node/14669,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9312.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/陈耀庭-放射科介入专科-主任医师-中山大学孙逸仙纪念医院.jpg,31620,7f73bdc1a91a62ee8eb786f8f46b2b23272540a603e9018ce9e923db4dbec600,657,800,FULL_FETCH,
陈晓莉,https://www.gzsys.org.cn/node/15341,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/12468.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/陈晓莉-妇科生殖内分泌专科-主任医师-中山大学孙逸仙纪念医院.jpg,37320,0801cbffbcfccd35a0f488cfb35e9d5df3cafe3c104285324c6e0ce30e8fa647,486,642,FULL_FETCH,
李轶,https://www.gzsys.org.cn/node/15343,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/%E6%9D%8E%E8%BD%B6%E5%89%AF%E6%95%99%E6%8E%88_%E5%89%AF%E6%9C%AC.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/李轶-妇科生殖内分泌专科-主任医师-中山大学孙逸仙纪念医院.jpg,251918,327376f272e8607eec59086cc64efe176541f2329d08a2fa733c02ee7d3852c9,413,579,FULL_FETCH,
张清学,https://www.gzsys.org.cn/node/15335,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/10591.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/张清学-妇科生殖内分泌专科-主任医师-中山大学孙逸仙纪念医院.jpg,1874091,95cfe461e5a6f902fc37d53f79108d2ac6bf71d09c34537fe90103be557d5664,2537,3793,FULL_FETCH,
王文军,https://www.gzsys.org.cn/node/15336,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/10245.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/王文军-妇科生殖内分泌专科-主任医师-中山大学孙逸仙纪念医院.jpg,1853565,f7381999d029e25cba3d6b1389a42635c63e6f6c17370b2474749a34a8cc8a0a,2400,3600,FULL_FETCH,
张锐,https://www.gzsys.org.cn/node/15209,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/02613.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/张锐-胆胰外科-主任医师-中山大学孙逸仙纪念医院.jpg,38429,056f7b3d876221fc345f2d419a386e3be8e2ce012c5ecd0bdf15c7b54ab67e12,168,240,FULL_FETCH,
刘建平,https://www.gzsys.org.cn/node/15214,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/00935.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/刘建平-胆胰外科-主任医师-中山大学孙逸仙纪念医院.jpg,9391,c08ecc882b7384458f33aa9aeeec4b746d60e7d5d69058c0e0e0a0088cd21c3f,168,240,FULL_FETCH,
许磊波,https://www.gzsys.org.cn/node/15210,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/13909.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/许磊波-胆胰外科-主任医师-中山大学孙逸仙纪念医院.jpg,1136396,6d58afcae52cc98b9312c0b722c4820c963ef23d6001c25d41cea2ac7a2aba24,1910,2362,FULL_FETCH,
林茂欢,https://www.gzsys.org.cn/doctor/14835,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/12666.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/林茂欢-心血管内科-主任医师-中山大学孙逸仙纪念医院.jpg,93842,d18a487d7f9bf8a2c00ac1d01aafaa57c3834f0acc7c27a021ca7194b7623556,1080,1556,FULL_FETCH,
张海峰,https://www.gzsys.org.cn/node/14836,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/13894.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/张海峰-心血管内科-主任医师-中山大学孙逸仙纪念医院.jpg,377132,0121e58d5fc7c2830f15c832f3f2f896e2829be170228840721b2e406f4c837b,1000,1454,FULL_FETCH,
