row_number,sequence,hospital,name,source_link,original_length,removed_segment,removed_length,remaining_length,segment_start,segment_end,segment_position,match_type,site_title,name_variant,owner_atypical_profile_case,quote_boundary_status,original_sha256,remaining_sha256
849,848,中山大学肿瘤防治中心,李旺,https://www.sysucc.org.cn/node/3758,384,临床专家 面包屑 首页 / 临床科室 / 外科系列 / 微创介入治疗科 / 临床专家 李旺 ,46,338,0,46,START,SYSUCC_CLINICAL_EXPERT,李旺,NO,NO,NO_ADJACENT_QUOTE,d37e1ae70bd0df9453e935756320a00389116d2b252a20058076aa8c6cd6d5d6,04863b8f7fd1dc9c238aa23f0b866fb249f3dde451e1b236d917a447bf0d6a61
850,849,中山大学肿瘤防治中心,林乐涛,https://www.sysucc.org.cn/node/9135,270,临床专家 面包屑 首页 / 临床科室 / 外科系列 / 微创介入治疗科 / 临床专家 林乐涛 ,47,223,0,47,START,SYSUCC_CLINICAL_EXPERT,林乐涛,NO,NO,NO_ADJACENT_QUOTE,5003601ad94e4ef4e668c150d6e8292297b1b1f56c7210dc3c119646d59bf2be,14bcbb038a9699495fade8fb11d060342f4c410f25ec0626f696ea566f677d04
851,850,中山大学肿瘤防治中心,江艺泉,https://www.sysucc.org.cn/node/9772,1800,临床专家 面包屑 首页 / 临床科室 / 外科系列 / 微创介入治疗科 / 临床专家 江艺泉 ,47,1753,0,47,START,SYSUCC_CLINICAL_EXPERT,江艺泉,NO,NO,NO_ADJACENT_QUOTE,5bf658e2a57138d612c385060e9756bc6fed609d963a99f970d48482082132eb,c85791594bee65348aa8378320a99a92975e63c1011d24329af42662b44f886c
852,851,中山大学肿瘤防治中心,沈露俊,https://www.sysucc.org.cn/node/3760,1800,临床专家 面包屑 首页 / 临床科室 / 外科系列 / 微创介入治疗科 / 临床专家 沈露俊 ,47,1753,0,47,START,SYSUCC_CLINICAL_EXPERT,沈露俊,NO,NO,NO_ADJACENT_QUOTE,cb8e60a93803872310e76ee08565050db191544cea49ef85f97b89cbba3fb099,9e9644c05b0ba8f9fd51b88e917584a3622aad7f4af821925db23554ec941969
853,852,中山大学肿瘤防治中心,范卫君,https://www.sysucc.org.cn/node/3753,1179,临床专家 面包屑 首页 / 临床科室 / 外科系列 / 微创介入治疗科 / 临床专家 范卫君 ,47,1132,0,47,START,SYSUCC_CLINICAL_EXPERT,范卫君,NO,NO,NO_ADJACENT_QUOTE,6bd6a41fe1fce9f362dcbefcbfe46a54549fc379107451a283224f4f1c42424a,8f7b249c1e37abbec4ff133c23ddbd8aa92aee425b46820727afe0d016dcb6d4
854,853,中山大学肿瘤防治中心,赵明,https://www.sysucc.org.cn/node/3754,1800,临床专家 面包屑 首页 / 临床科室 / 外科系列 / 微创介入治疗科 / 临床专家 赵明 ,46,1754,0,46,START,SYSUCC_CLINICAL_EXPERT,赵明,NO,NO,NO_ADJACENT_QUOTE,abdb97844e75f685d663870e6b9edbe7a25e3527aeae9e3dd8177f7e09ab59d4,8f8a416b1154b99a1e39764f2165822363a254c2b29575391597c42df97f9616
855,854,中山大学肿瘤防治中心,陈奇峰,https://www.sysucc.org.cn/node/10435,632,临床专家 面包屑 首页 / 临床科室 / 外科系列 / 微创介入治疗科 / 临床专家 陈奇峰 ,47,585,0,47,START,SYSUCC_CLINICAL_EXPERT,陈奇峰,NO,NO,NO_ADJACENT_QUOTE,9b3cc0a4d9055f437bd973f9b0824cb78eeda181b37082bd1089b22a6355e4b1,8cd76a43fe64a0e2ff07ed4a85e45bcafc3720deacde665faf4b5f438e1cb007
856,855,中山大学肿瘤防治中心,韩雪,https://www.sysucc.org.cn/node/12338,520,临床专家 面包屑 首页 / 临床科室 / 外科系列 / 微创介入治疗科 / 临床专家 韩雪 ,46,474,0,46,START,SYSUCC_CLINICAL_EXPERT,韩雪,NO,NO,NO_ADJACENT_QUOTE,90c40b05afdb321fd138bb0dc0d4c026097a590ceb9d7cf325f3bbe3f8d692c4,fc66d3e952a7a65f4b745144ca369682b88dff69166da1421e1bb8c832d692ec
857,856,中山大学肿瘤防治中心,高飞,https://www.sysucc.org.cn/node/3756,1800,临床专家 面包屑 首页 / 临床科室 / 外科系列 / 微创介入治疗科 / 临床专家 高飞 ,46,1754,0,46,START,SYSUCC_CLINICAL_EXPERT,高飞,NO,NO,NO_ADJACENT_QUOTE,7b8159e705cb9a722cafd43fdb5052583fee666a431d53e71219ab35a861fda1,dee51fe0232fe03bdab2aae3287e7efdfb494e4055d2b1809762a38b7930f6a9
858,857,中山大学肿瘤防治中心,黄子林,https://www.sysucc.org.cn/node/3755,1800,临床专家 面包屑 首页 / 临床科室 / 外科系列 / 微创介入治疗科 / 临床专家 黄子林 ,47,1753,0,47,START,SYSUCC_CLINICAL_EXPERT,黄子林,NO,NO,NO_ADJACENT_QUOTE,12bbed539bc550f5baa0785c53e655921938c13a96ed5c4b71e5255b3c199a54,5f5c03b641150fd60e06b559e86b7e57508f65a58e09365d65fc3d9dd348f1ab
859,858,中山大学肿瘤防治中心,黄职妹,https://www.sysucc.org.cn/node/3762,604,临床专家 面包屑 首页 / 临床科室 / 外科系列 / 微创介入治疗科 / 临床专家 黄职妹 ,47,557,0,47,START,SYSUCC_CLINICAL_EXPERT,黄职妹,NO,NO,NO_ADJACENT_QUOTE,557e02a2fecaaca74cc92f1642e1a086bb9e91f0c0662f594ad930e4e842ed44,0134f7f9f5814d0c1efbdd8886e164b9ccc81298b873048b6a33344059c55d65
860,859,中山大学肿瘤防治中心,黄金华,https://www.sysucc.org.cn/node/3751,1800,临床专家 面包屑 首页 / 临床科室 / 外科系列 / 微创介入治疗科 / 临床专家 黄金华 ,47,1753,0,47,START,SYSUCC_CLINICAL_EXPERT,黄金华,NO,NO,NO_ADJACENT_QUOTE,dc3157f478b78e3c1c5c9784546403732138ccf3d70af002e5f236ad24cb0dc6,922554463bea5dbefd29d0241d20899f0424d51a85dcc6e27b24a12e01d5abbc
861,860,中山大学肿瘤防治中心,何伟雄,https://www.sysucc.org.cn/node/3827,1426,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 何伟雄 ,45,1381,0,45,START,SYSUCC_CLINICAL_EXPERT,何伟雄,NO,NO,NO_ADJACENT_QUOTE,3fb2ee7c069ba57e806211139d19ca2a427fc5e7ac95bce0a0922624e47a4245,b3280def06a0bb8f304ae29f1f29fd27ec2d51c3b971469519e4042439ec7502
862,861,中山大学肿瘤防治中心,卢雅立,https://www.sysucc.org.cn/node/3829,72,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 卢雅立 ,45,27,0,45,START,SYSUCC_CLINICAL_EXPERT,卢雅立,NO,YES,NO_ADJACENT_QUOTE,6a5a58f6d05af65601651315c5704e8ac69fb67f1669a35d86cd6c8572e55048,c035ba8f11c2ecf75a0848ab4bbcb3b63f226deb3997954c48f28633b23f1fd0
863,862,中山大学肿瘤防治中心,操隆辉,https://www.sysucc.org.cn/node/3831,1800,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 操隆辉 ,45,1755,0,45,START,SYSUCC_CLINICAL_EXPERT,操隆辉,NO,NO,NO_ADJACENT_QUOTE,2ae226634618d00c13ad6cfd83a6948d7b05711613eaf637ab3b99e61e52a620,d762cc41175915bec87f65280d3caf261b37b7853031b730b3b5da07d709a57a
864,863,中山大学肿瘤防治中心,曾维安,https://www.sysucc.org.cn/node/3817,1203,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 曾维安 ,45,1158,0,45,START,SYSUCC_CLINICAL_EXPERT,曾维安,NO,NO,NO_ADJACENT_QUOTE,0e0a785749fc82251389cfed2844d4a6a16564dde2f282e30c1355b909143f16,f524ea5738064734c5fbfb871d63430352764b16224f9b2061e3b61bdfb70523
865,864,中山大学肿瘤防治中心,李伟,https://www.sysucc.org.cn/node/3818,1301,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 李伟 ,44,1257,0,44,START,SYSUCC_CLINICAL_EXPERT,李伟,NO,NO,NO_ADJACENT_QUOTE,3cfb59601d36e7358a3f0b6a42b5baeffcdf32afd32f2b73f51b168d2035e302,52a50a16f671ee65ce7a0d517f863039dd2521bcf36790c9b296a43b9e462869
866,865,中山大学肿瘤防治中心,李强,https://www.sysucc.org.cn/node/3820,75,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 李强 ,44,31,0,44,START,SYSUCC_CLINICAL_EXPERT,李强,NO,NO,NO_ADJACENT_QUOTE,fad2711c8346794e567bbbca47c36e9328fbd4b97379065d38ccd959d25ab6cb,8b36aa706c60763b3443387760ebd715eb51e5e9304ec9da2fa40e74fc48d883
867,866,中山大学肿瘤防治中心,李永春,https://www.sysucc.org.cn/node/12635,70,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 李永春 ,45,25,0,45,START,SYSUCC_CLINICAL_EXPERT,李永春,NO,NO,NO_ADJACENT_QUOTE,b25d7d84bb0cea9c2812df6ccb775389d63debf4d0fe38b29a7d864ef8cd0258,e830263af9d41f994bfaa2b8eb72143167ad9825d41463e0fcccb7e8afe3db18
868,867,中山大学肿瘤防治中心,林文前,https://www.sysucc.org.cn/node/3819,1800,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 林文前 ,45,1755,0,45,START,SYSUCC_CLINICAL_EXPERT,林文前,NO,NO,NO_ADJACENT_QUOTE,602a647d55d85b2b05d4d61eb73dbc924af102e5fd297e3a5d09378301e00d81,9ca0d8dcacb054f7f3ca2e905a3b065faf381081c14d0b44621f6059f2f52b58
870,869,中山大学肿瘤防治中心,温丽丽,https://www.sysucc.org.cn/node/3832,394,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 温丽丽 ,45,349,0,45,START,SYSUCC_CLINICAL_EXPERT,温丽丽,NO,YES,NO_ADJACENT_QUOTE,a2f549f4fe55251a493789e5da667fb8fb4dc5a47fe969a6aca9db5365e53f34,c31df6d7e867b87ca856d8f29276eef9b4b0522ef83014fd218cebd008a3eda6
871,870,中山大学肿瘤防治中心,王剑,https://www.sysucc.org.cn/node/3830,83,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 王剑 ,44,39,0,44,START,SYSUCC_CLINICAL_EXPERT,王剑,NO,NO,NO_ADJACENT_QUOTE,2cedb9cf6c6a875f6c6215bf6a0d173395d86ad4e651cce79885e20308a77a4a,564e4c0406c797f5d7aac4f33a7d81fa4d00dc5a48352cee5beb9f02e25ac88a
